Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
acceptAlert(),Chrome 125.0.0.0,,,13-06-2024 08:31:53,13-06-2024 08:31:54,0.823s,FAILED
,,,,,,,
Test Cases/tce/acdemics,Chrome 125.0.0.0,,,13-06-2024 08:32:50,13-06-2024 08:33:01,11.314s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 08:32:50,13-06-2024 08:32:51,0.847s,PASSED
"navigateToUrl(""https://www.tvu.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 08:32:51,13-06-2024 08:33:00,9.408s,PASSED
"click(findTestObject(""Object Repository/home/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Menu""))",Chrome 125.0.0.0,,,13-06-2024 08:33:00,13-06-2024 08:33:01,0.573s,PASSED
acceptAlert(),Chrome 125.0.0.0,,,13-06-2024 08:33:01,13-06-2024 08:33:01,0.478s,FAILED
,,,,,,,
Test Cases/tce/admission,Chrome 125.0.0.0,,,13-06-2024 08:33:01,13-06-2024 08:33:44,42.291s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 08:33:01,13-06-2024 08:33:02,0.808s,PASSED
"navigateToUrl(""https://www.tvu.edu.in/administration/registrar/"")",Chrome 125.0.0.0,,,13-06-2024 08:33:02,13-06-2024 08:33:11,8.745s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/section_Registrar            Dr. J. Senthil_789365""))",Chrome 125.0.0.0,,,13-06-2024 08:33:11,13-06-2024 08:33:11,0.326s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/section_Registrar            Dr. J. Senthil_789365""))",Chrome 125.0.0.0,,,13-06-2024 08:33:11,13-06-2024 08:33:12,0.290s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_Dr. J. Senthil Velmurugan, Ph.D""))",Chrome 125.0.0.0,,,13-06-2024 08:33:12,13-06-2024 08:33:12,0.292s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h4_Thiruvalluvar University        Serkkadu_bc8061""))",Chrome 125.0.0.0,,,13-06-2024 08:33:12,13-06-2024 08:33:12,0.283s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h4_Thiruvalluvar University        Serkkadu_bc8061""))",Chrome 125.0.0.0,,,13-06-2024 08:33:12,13-06-2024 08:33:12,0.313s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Controller of Examination""))",Chrome 125.0.0.0,,,13-06-2024 08:33:12,13-06-2024 08:33:15,2.631s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_Dr. R. Babujanarthanam M.Sc., M.Phil., P_14dd85""))",Chrome 125.0.0.0,,,13-06-2024 08:33:15,13-06-2024 08:33:15,0.349s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Dr. R. Babujanarthanam M.Sc., M.Phil., _dcb7bc""))",Chrome 125.0.0.0,,,13-06-2024 08:33:15,13-06-2024 08:33:16,0.290s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_Dr. R. Babujanarthanam M.Sc., M.Phil., P_14dd85""))",Chrome 125.0.0.0,,,13-06-2024 08:33:16,13-06-2024 08:33:16,0.308s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Dean CDC""))",Chrome 125.0.0.0,,,13-06-2024 08:33:16,13-06-2024 08:33:18,2.364s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h1_Dean  College Development Council""))",Chrome 125.0.0.0,,,13-06-2024 08:33:18,13-06-2024 08:33:19,0.283s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Finance Officer""))",Chrome 125.0.0.0,,,13-06-2024 08:33:19,13-06-2024 08:33:21,2.116s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_About University                       _aca2e3""))",Chrome 125.0.0.0,,,13-06-2024 08:33:21,13-06-2024 08:33:21,0.314s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_News  Events""))",Chrome 125.0.0.0,,,13-06-2024 08:33:21,13-06-2024 08:33:23,2.255s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/section_Events                             _c9495b""))",Chrome 125.0.0.0,,,13-06-2024 08:33:23,13-06-2024 08:33:24,0.392s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h1_Events""))",Chrome 125.0.0.0,,,13-06-2024 08:33:24,13-06-2024 08:33:24,0.317s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/p_YOUTH FESTIVAL 2024-REG""))",Chrome 125.0.0.0,,,13-06-2024 08:33:24,13-06-2024 08:33:24,0.339s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Read More""))",Chrome 125.0.0.0,,,13-06-2024 08:33:24,13-06-2024 08:33:25,0.363s,PASSED
"switchToWindowTitle(""Thiruvalluvar University - Serkadu, Vellore, Tamil Nadu, India"")",Chrome 125.0.0.0,,,13-06-2024 08:33:25,13-06-2024 08:33:25,0.049s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_Results""))",Chrome 125.0.0.0,,,13-06-2024 08:33:25,13-06-2024 08:33:28,2.876s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/section_Results PGPG Examinations April  Ma_c27e37""))",Chrome 125.0.0.0,,,13-06-2024 08:33:28,13-06-2024 08:33:28,0.345s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Results PGPG Examinations April  May 20_a3ef55""))",Chrome 125.0.0.0,,,13-06-2024 08:33:28,13-06-2024 08:33:30,1.735s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h1_Examination""))",Chrome 125.0.0.0,,,13-06-2024 08:33:30,13-06-2024 08:33:32,1.974s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Revised Remunaration""))",Chrome 125.0.0.0,,,13-06-2024 08:33:32,13-06-2024 08:33:34,2.003s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Genuineness Certificate""))",Chrome 125.0.0.0,,,13-06-2024 08:33:34,13-06-2024 08:33:36,1.974s,PASSED
"switchToWindowTitle(""Thiruvalluvar University - Serkadu, Vellore, Tamil Nadu, India"")",Chrome 125.0.0.0,,,13-06-2024 08:33:36,13-06-2024 08:33:36,0.039s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_News  Events""))",Chrome 125.0.0.0,,,13-06-2024 08:33:36,13-06-2024 08:33:38,2.246s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_Archives""))",Chrome 125.0.0.0,,,13-06-2024 08:33:38,13-06-2024 08:33:40,2.069s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h1_Archived Events""))",Chrome 125.0.0.0,,,13-06-2024 08:33:40,13-06-2024 08:33:40,0.371s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h1_Archived Events""))",Chrome 125.0.0.0,,,13-06-2024 08:33:40,13-06-2024 08:33:41,0.345s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/h2_Circular""))",Chrome 125.0.0.0,,,13-06-2024 08:33:41,13-06-2024 08:33:43,2.502s,PASSED
"click(findTestObject(""Object Repository/tceadministration/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/a_Readmission-Reg""))",Chrome 125.0.0.0,,,13-06-2024 08:33:43,13-06-2024 08:33:44,0.327s,PASSED
,,,,,,,
Test Cases/tce/home,Chrome 125.0.0.0,,,13-06-2024 08:34:37,13-06-2024 08:35:08,30.688s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 08:34:37,13-06-2024 08:34:38,1.001s,PASSED
"navigateToUrl(""https://www.tvu.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 08:34:38,13-06-2024 08:35:04,26.531s,PASSED
"click(findTestObject(""Object Repository/home tuv/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Menu""))",Chrome 125.0.0.0,,,13-06-2024 08:35:04,13-06-2024 08:35:05,0.522s,PASSED
"click(findTestObject(""Object Repository/home tuv/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Stand Up Pouches_mm-blocker""))",Chrome 125.0.0.0,,,13-06-2024 08:35:05,13-06-2024 08:35:05,0.320s,PASSED
"click(findTestObject(""Object Repository/home tuv/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Menu""))",Chrome 125.0.0.0,,,13-06-2024 08:35:05,13-06-2024 08:35:06,0.402s,PASSED
"click(findTestObject(""Object Repository/home tuv/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Stand Up Pouches_mm-blocker""))",Chrome 125.0.0.0,,,13-06-2024 08:35:06,13-06-2024 08:35:07,0.948s,PASSED
"doubleClick(findTestObject(""Object Repository/home tuv/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_HomeVCs DeskUniversityAuthoritiesAdmini_c2d384""))",Chrome 125.0.0.0,,,13-06-2024 08:35:07,13-06-2024 08:35:07,0.423s,PASSED
"click(findTestObject(""Object Repository/home tuv/Page_Thiruvalluvar University - Serkadu, Ve_a1c02d/div_Stand Up Pouches_mm-blocker""))",Chrome 125.0.0.0,,,13-06-2024 08:35:07,13-06-2024 08:35:08,0.531s,FAILED
